formula,n_elements,dG_OH,dG_O,dG_OOH,descriptor,eta_V,limiting_step,formability,single_phase,phase,delta_pct,omega,dHmix_kJ,dSmix_J,vec,abundance,cost_usd_kg,backend,activity,formable,score,pareto,rank,eta_prior
Co16Ni29Cu7Cr22Fe25,5,-0.06073110352271771,-0.8126038503936301,4.175715220295283,-0.7518727468709124,3.758319070688913,3,0.8821978484903071,True,FCC,0.7091255617458849,20.839399156399853,-1.1112733711511222,12.648562078050391,8.505837450504592,0.34913258305198913,13.326425864279383,fairchem:uma-s-1p1,0.5165132187435141,True,0.592742480529247,False,14,0.3702874966299434
Ni19Cr19Co28Fe34,4,0.14834292772935453,-0.48674442761802245,-0.2872512777963351,-0.635087355347377,3.9772512777963347,4,0.9335917833461694,True,FCC,0.33156958671709386,6.915653953384211,-3.01676246729098,11.264206706031874,8.290746926487483,0.4063741639565821,14.51559373797771,fairchem:uma-s-1p1,0.4167848897542807,True,0.5697448126723076,True,15,0.3807421029586382
Ni32Fe33Cu11Mn24,4,1.1807171115529322,-0.6924961795443225,4.4997506500084885,-1.8732132910972548,3.9622468295528113,3,0.8193633818337301,True,FCC,3.5182959674216905,49.20090116364352,-0.3707175626925283,10.968839673302817,8.7308716791442,0.5041827455085034,7.3237971888475935,fairchem:uma-s-1p1,0.42361973863513913,True,0.5584554329693893,True,16,0.3788775728884093
Co24Cr18Ni31Fe27,4,0.9106537870547505,-0.37062580164357134,-0.3129174787630603,-1.281279588698322,4.0029174787630595,4,0.9405164365275268,True,FCC,0.3017614864774061,6.195061278380909,-3.3782025303922927,11.368599608620823,8.507755306715563,0.34823566802768285,15.39111199665957,fairchem:uma-s-1p1,0.40509338320194693,True,0.5543487561647681,False,17,0.37132298026190247
Fe32Ni17Co34Mn18,4,-0.16067675670222104,-0.6899592643594035,-0.3744571309666952,-0.5292825076571824,4.064457130966694,4,0.905977567102803,True,FCC,3.1475032599361144,6.446044771867204,-2.983107163585875,11.106939874038757,8.492881076718641,0.43072319458135006,14.537307931087367,fairchem:uma-s-1p1,0.3770607480682967,True,0.5464682830812593,False,18,0.37585464783076317
Fe33Cr20Co32Ni16,4,-0.16586346048858547,-1.180270258724535,4.122672931218753,-1.0144067982359495,4.072943189943288,3,0.9323212750882572,True,FCC,0.3365725669598934,7.005986400853594,-2.954530112985031,11.150967124356717,8.245243746372036,0.38701208006835663,15.361725197323182,fairchem:uma-s-1p1,0.37319516569181,True,0.5436963813860535,False,19,0.38264993773418166
Ni32Cr6Fe23Co28Mn11,5,-0.032481613453077096,-0.6066634645513902,-0.4934477857058738,-0.5741818510983131,4.183447785705873,4,0.9256336273706459,True,FCC,2.5734048682179083,6.384049078978127,-3.371841144911956,12.21150997748367,8.693044722176936,0.3426860026126135,15.917557995057972,fairchem:uma-s-1p1,0.3228579456608348,True,0.5076562615641339,False,20,0.3791283966300938
Fe27Cu12Co13Mn24Ni25,5,-0.1338627800620792,-0.8770174344525985,-0.5517730436764822,-0.7431546543905193,4.241773043676481,4,0.8145221970888242,True,FCC,3.4505449062166313,112.58270659898099,-0.1907695875790154,12.923693085036534,8.736095443830148,0.43564673475426374,10.208051596886909,fairchem:uma-s-1p1,0.29628953623343285,True,0.4796307741942164,False,21,0.37097591801885343
Ni22Co33Fe31Mn14,4,-0.20852841653659981,-1.0000907883886343,-0.8551066909868069,-0.7915623718520345,4.545106690986806,4,0.9103268757146924,True,FCC,2.909922960307166,6.662123642742376,-2.904574297198769,11.143219281056753,8.62407058414616,0.409170549354875,15.226786335715286,fairchem:uma-s-1p1,0.1581145359803856,True,0.43398944057557554,False,22,0.3819440362411084
Cr13Ni31Mn7Co16Fe33,5,-0.1981081791523046,0.5769672943764859,-1.0565352280521751,0.7750754735287905,4.746535228052174,4,0.9328197701343081,True,FCC,2.2055752472706325,6.334425376186069,-3.4949963010465965,12.276088632260704,8.448301238609007,0.4383128335953031,12.286841946265698,fairchem:uma-s-1p1,0.06635950515288129,True,0.4006882503357937,True,23,0.3877263550879819
Ni24Fe27Co28Mn20,4,-0.33773243370034367,-0.9662450695803118,-1.2022133224604858,-0.6285126358799681,4.892213322460485,4,0.9114940628060664,True,FCC,3.306476360014975,5.538047304310553,-3.5584057535327376,11.460356087394755,8.569393340033551,0.4040621779224006,14.2348410605176,fairchem:uma-s-1p1,0.0,True,0.35426065442630006,False,24,0.3832280776257635
