formula,n_elements,dG_OH,dG_O,dG_OOH,descriptor,eta_V,limiting_step,formability,single_phase,phase,delta_pct,omega,dHmix_kJ,dSmix_J,vec,abundance,cost_usd_kg,backend,n_sites,eta_min,eta_mean,eta_std,eta_max,activity,formable,score,pareto,rank,eta_prior
Fe22Co6Cu29Mn35Ni8,5,2.1571589432331657,3.060867936135514,5.235874108043918,0.9037089929023483,0.9450061719084037,3,0.5317596058159179,True,FCC,3.525030104876709,4.316264004990338,4.310376373987695,11.867457646482368,8.741744072875337,0.4312298337556725,6.754077290590067,fairchem:uma-s-1p1:rutile,4,0.9450061719084037,1.925109548572223,0.6029489324796952,2.5899441804263565,0.9373453184861766,True,0.7144465077389982,True,11,0.3701364286114375
Mn25Cu19Cr18Fe20Co18,5,2.2578981931438116,4.025724945008369,5.811098539826348,1.7678267518645572,1.0278981931438116,1,0.5749090455738678,True,FCC,3.373177468179696,5.975095924875234,3.8116009329753413,13.310206461149855,8.132695790132617,0.3737755027237871,9.865017300380275,fairchem:uma-s-1p1:rutile,4,1.0278981931438116,1.2563342501275687,0.1868253807871882,1.4626709098671,0.9079690567756248,True,0.7012123426047302,False,12,0.4225584898217991
Cu22Fe33Ni33Cr12,4,2.333593224044288,3.917809095399525,5.750711542947856,1.5842158713552368,1.103593224044288,1,0.5697623734680604,True,FCC,1.1381715881643126,4.602398607206981,4.12136405371595,10.981160971466618,9.08480823390958,0.4267636420137658,9.189914065240611,fairchem:uma-s-1p1:rutile,4,1.103593224044288,1.8901733654782185,0.6608300230113534,2.612713570041307,0.8811433502144863,True,0.6968531155504144,False,13,0.4491127474557224
Cu18Cr34Fe35Ni13,4,2.001914937435837,3.5022760569606586,5.836997911799601,1.5003611195248214,1.1047218548389428,3,0.5518104199854565,True,FCC,1.0364711996213587,4.627191975806053,4.344543632593472,10.885068373875043,8.10856750099306,0.44962437349554407,7.361579824728998,fairchem:uma-s-1p1:rutile,4,1.1047218548389428,1.5980737942720609,0.45948580167611286,2.288527586777946,0.8807433725917401,True,0.6958396869906158,False,14,0.40279288428284454
Fe14Cr32Ni11Mn21Cu22,5,1.4782762571852381,3.3534337537205143,5.743433236573951,1.8751574965352762,1.1599994828534368,3,0.5080806771765991,True,FCC,3.1839060303333935,4.800681400964322,4.698707707045729,12.801090499164863,8.009344969892409,0.3412586773761175,7.374871180920517,fairchem:uma-s-1p1:rutile,4,1.1599994828534368,1.8504242258445907,0.5264500795664308,2.361843653711957,0.8611534284319676,True,0.651252652844187,False,15,0.44777961432626645
Cu31Co20Ni16Mn33,4,2.6930443745987795,3.293450408188141,5.801862804053615,0.6004060335893615,1.4630443745987796,1,0.7706225203059929,True,FCC,3.3312513847827954,20.67844476731122,0.8420955111065436,11.204007702020574,9.12012987128712,0.215217438217945,12.977991082921974,fairchem:uma-s-1p1:rutile,4,1.4630443745987796,2.041128259639862,0.44930323349274986,2.7075330154513613,0.7537567704994141,True,0.6511086289850939,False,16,0.40120165940293906
Ni31Cu33Cr10Mn27,4,1.4672485363190995,4.15838815534895,4.505524353872788,2.6911396190298507,1.4611396190298507,2,0.7476551788365288,True,FCC,3.2474458703728386,13.234835286862232,1.3099881430962899,10.874533348207969,9.133865494530095,0.22943594351394195,9.882204894166932,fairchem:uma-s-1p1:rutile,4,1.4611396190298507,2.178443227614711,0.6499959144784634,3.086212200881221,0.7544318004631374,True,0.6473996425853158,False,17,0.39139546835923356
Cr33Ni30Fe11Co26,4,1.9545160223239386,2.646395131203553,5.752064367355688,0.6918791088796143,1.875669236152135,3,0.9587573926147457,True,FCC,0.24200262979558718,4.46016342726221,-4.659768434339808,10.959843103104651,8.203597727261958,0.21430189129298466,17.246543358322167,fairchem:uma-s-1p1:rutile,4,1.875669236152135,4.397502028545063,1.4688727805470387,5.553482181857703,0.6075258577937424,True,0.6342505249398918,True,18,0.419673084113259
Cr34Mn23Co9Fe34,4,1.7279666310710504,2.3915171231911128,5.753550919661693,0.6635504921200623,2.1320337964705804,3,0.8402585640563907,True,FCC+BCC,3.448131441050787,22.944499645999517,-0.8707316100088964,10.696603233423899,7.1781925877641966,0.5102166367372944,6.755876445420622,fairchem:uma-s-1p1:rutile,4,2.1320337964705804,3.0918475973712565,0.7660392392952565,4.175253735350509,0.5166723316643989,True,0.6124570623965756,False,19,0.5630421179111629
Co24Ni35Mn34Cu7,4,2.0016541769167966,2.6191919380798705,5.801513494160433,0.6175377611630739,1.952321556080563,3,0.9041571532098707,True,FCC,3.7002957148162654,4.011658144874532,-4.2891268549380515,10.495614003171926,8.801820532540798,0.22502232917648396,15.364035721108337,fairchem:uma-s-1p1:rutile,4,1.952321556080563,2.751132755867524,0.5014656564890528,3.3288918165254846,0.5803608957457835,True,0.6064320596711498,False,20,0.40039699415657726
