
  =-------------------------------------------------------------------------------=

                                 Hubbard U parameters:

       site n.  type  label  spin  new_type  new_label  manifold  Hubbard U (eV)
         1        1   Ti       1      1         Ti         3d       4.2245
         2        1   Ti       1      1         Ti         3d       4.2245

  =-------------------------------------------------------------------------------=


          chi0 matrix :
   -0.002166   -0.006290   -0.000091   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290
   -0.002154   -0.006290   -0.000402   -0.006290   -6.197786   -0.006290   -0.024304   -0.006290

   -0.006290   -0.002166   -0.006290   -0.000091   -0.006290   -0.002154   -0.006290   -0.000402
   -0.006290   -0.002154   -0.006290   -0.000402   -0.006290   -6.197786   -0.006290   -0.024304

   -0.000091   -0.006290   -0.002166   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290
   -0.000402   -0.006290   -0.002154   -0.006290   -0.024304   -0.006290   -6.197786   -0.006290

   -0.006290   -0.000091   -0.006290   -0.002166   -0.006290   -0.000402   -0.006290   -0.002154
   -0.006290   -0.000402   -0.006290   -0.002154   -0.006290   -0.024304   -0.006290   -6.197786


         Hubbard matrix :
    4.224513   -0.008555   -0.023509   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555
   -0.002084   -0.008555   -0.005627   -0.008555   -0.003434   -0.008555   -0.005086   -0.008555

   -0.008555    4.224513   -0.008555   -0.023509   -0.008555   -0.002084   -0.008555   -0.005627
   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555   -0.003434   -0.008555   -0.005086

   -0.023509   -0.008555    4.224513   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555
   -0.005627   -0.008555   -0.002084   -0.008555   -0.005086   -0.008555   -0.003434   -0.008555

   -0.008555   -0.023509   -0.008555    4.224513   -0.008555   -0.005627   -0.008555   -0.002084
   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555   -0.005086   -0.008555   -0.003434

   -0.002084   -0.008555   -0.005627   -0.008555    4.224513   -0.008555   -0.023509   -0.008555
   -0.003434   -0.008555   -0.005086   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555

   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555    4.224513   -0.008555   -0.023509
   -0.008555   -0.003434   -0.008555   -0.005086   -0.008555   -0.002084   -0.008555   -0.005627

   -0.005627   -0.008555   -0.002084   -0.008555   -0.023509   -0.008555    4.224513   -0.008555
   -0.005086   -0.008555   -0.003434   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555

   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555   -0.023509   -0.008555    4.224513
   -0.008555   -0.005086   -0.008555   -0.003434   -0.008555   -0.005627   -0.008555   -0.002084

   -0.002084   -0.008555   -0.005627   -0.008555   -0.003434   -0.008555   -0.005086   -0.008555
    4.224513   -0.008555   -0.023509   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555

   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555   -0.003434   -0.008555   -0.005086
   -0.008555    4.224513   -0.008555   -0.023509   -0.008555   -0.002084   -0.008555   -0.005627

   -0.005627   -0.008555   -0.002084   -0.008555   -0.005086   -0.008555   -0.003434   -0.008555
   -0.023509   -0.008555    4.224513   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555

   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555   -0.005086   -0.008555   -0.003434
   -0.008555   -0.023509   -0.008555    4.224513   -0.008555   -0.005627   -0.008555   -0.002084

   -0.003434   -0.008555   -0.005086   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555
   -0.002084   -0.008555   -0.005627   -0.008555    4.224513   -0.008555   -0.023509   -0.008555

   -0.008555   -0.003434   -0.008555   -0.005086   -0.008555   -0.002084   -0.008555   -0.005627
   -0.008555   -0.002084   -0.008555   -0.005627   -0.008555    4.224513   -0.008555   -0.023509

   -0.005086   -0.008555   -0.003434   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555
   -0.005627   -0.008555   -0.002084   -0.008555   -0.023509   -0.008555    4.224513   -0.008555

   -0.008555   -0.005086   -0.008555   -0.003434   -0.008555   -0.005627   -0.008555   -0.002084
   -0.008555   -0.005627   -0.008555   -0.002084   -0.008555   -0.023509   -0.008555    4.224513

